id,y,x
"0","-7","503"
"1","-47","504"
"2","-78","503"
"3","-81","462"
"4","-79","418"
"5","-76","366"
"6","-74","318"
"7","-77","275"
"8","-76","229"
"9","-73","174"
"10","-70","124"
"11","-72","75"
"12","-124","77"
"13","-180","80"
"14","-222","78"
"15","-291","82"
"16","-351","86"
"17","-397","83"
"18","-447","84"
"19","-480","84"
"20","-523","83"
"21","-555","84"
"22","-597","85"
"23","-629","84"
"24","-666","86"
"25","-731","84"
"26","-787","84"
"27","-737","142"
"28","-736","194"
"29","-735","244"
"30","-738","294"
"31","-727","341"
"32","-729","416"
"33","-727","475"
"34","-727","524"
"35","-729","588"
"36","-765","640"
"37","-730","642"
"38","-701","642"
"39","-659","624"
"40","-630","622"
"41","-596","621"
"42","-548","622"
"43","-522","624"
"44","-485","624"
"45","-452","624"
"46","-421","624"
"47","-384","611"
"48","-352","610"
"49","-318","609"
"50","-283","606"
"51","-207","604"
"52","-207","564"
"53","-141","580"
"54","-78","573"
"55","-13","571"
"56","-206","141"
"57","-206","189"
"58","-204","242"
"59","-204","293"
"60","-205","346"
"61","-207","419"
"62","-158","418"
"63","-256","429"
"64","-305","432"
"65","-335","356"
"66","-331","286"
"67","-336","240"
"68","-333","191"
"69","-331","142"
"70","-411","190"
"71","-450","189"
"72","-485","191"
"73","-517","192"
"74","-554","192"
"75","-589","191"
"76","-628","190"
"77","-669","193"
"78","-667","292"
"79","-618","294"
"80","-583","290"
"81","-550","292"
"82","-520","294"
"83","-484","293"
"84","-446","293"
"85","-412","292"
"86","-414","394"
"87","-450","394"
"88","-486","394"
"89","-518","391"
"90","-554","391"
"91","-590","392"
"92","-631","392"
"93","-669","394"
"94","-669","500"
"95","-619","499"
"96","-587","501"
"97","-551","504"
"98","-517","508"
"99","-478","508"
"100","-447","508"
"101","-406","508"
"102","-348","507"
"103","-346","446"
"104","-345","560"
"105","-300","561"
"106","-146","231"
