product,weight
valmisruoka,100
hevikylma,1
yrtti,1
hevi,1
kukat,1
salaattibaari,1
vaaka,1
leipa,1
paistoleipa,1
irtopaisto,1
helposti_mukaan,1
termoskahvi,1
lihajaloste,1
texmex,1
kondis_omak,1
mehupuristin,1
pahkina,1
leivonta,1
kuivaruoka,1
mausteet,1
riisi_pasta,1
maustekastikkeet,1
murot_myslit,1
jauhot_hiutale,1
sailyke,1
makeutus,1
murealeipa,1
lastenhoito,1
elaintenruoka,1
lastenruoka,1
kuumat_juomat,1
pesu_puhdistus,1
siivous,1
keksit,1
intiimi,1
pehmopaperi,1
ruoanvalmistus_kattaminen,1
mehut,1
vartalonhoito,1
proteiinit,1
sukat_sukkahousut,1
terveysvaikutteiset,1
koulutarvikkeet,1
snacksit,1
vjc,1
panimokylma,1
panimo,1
virvoitusjuomat,1
irtomakeiset,1
makeiset,1
liha,1
kala,1
juusto,1
rasvat,1
teema,1
sahko_paristo,1
kananmuna,1
uht_maito,1
mehukylma,1
jogurtit_vanukkaat,1
maitokaappi,1
kotipaisto,1
ruokapakaste,1
jaatelo,1
kortit,1
ip-lehdet,1
kassa,1
sisaankaynti,1
uloskaynti,1
