shelf,node
1,12
2,11
3,10
4,9
5,8
6,7
7,6
8,5
9,12
10,13
11,14
12,15
13,56
14,106
15,10
16,59
17,62
18,69
19,68
20,66
21,60
22,63
23,62
24,61
25,63
26,64
27,17
28,18
29,69
30,67
31,65
32,103
33,104
34,18
35,70
36,19
37,71
38,20
39,72
40,21
41,73
42,22
43,74
44,23
45,75
46,24
47,76
48,25
49,77
50,70
51,85
52,71
53,84
54,72
55,83
56,73
57,82
58,74
59,81
60,75
61,80
62,76
63,79
64,77
65,78
66,85
67,86
68,84
69,87
70,83
71,88
72,82
73,89
74,81
75,90
76,91
77,79
78,92
79,78
80,93
81,78
82,86
83,101
84,87
85,99
86,88
87,89
88,98
89,90
90,96
91,91
92,92
93,95
94,93
95,94
96,101
97,48
98,100
99,46
100,99
101,45
102,98
103,44
104,97
105,43
106,96
107,42
108,95
109,41
110,94
111,40
112,21
113,22
114,23
115,24
116,25
117,26
118,27
119,28
120,30
121,32
122,34
123,36
124,27
125,29
126,30
127,31
128,32
129,33
130,34
131,35
132,37
133,37
134,38
135,39
136,39
137,40
138,42
139,42
140,43
141,44
142,45
143,46
144,47
145,48
146,49
147,50
148,51
149,23
150,52
151,56
152,1
153,55
